num,admiration,adoration,aesthetic_appreciation,amusement,anger,anxiety,awe,awkwardness,boredom,calmness,confusion,contempt,craving,disappointment,disgust,empathic_pain,entrancement,envy,excitement,fear,guilt,horror,interest,joy,nostalgia,pride,relief,romance,sadness,satisfaction,sexual_desire,surprise,sympathy,triumph,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
1,0.0,0.0,0.083333,0.0,0.083333,0.083333,0.083333,0.0,0.0,0.0,0.16667,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.33333,0.083333,0.083333,0.41667,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.25,0.0,0.0,1.6667,5.5556,6.1111,3.0,4.0,1.5556,4.5556,4.1111,2.1111,4.3333,2.8889,1.3333,1.6667,2.2222
2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.083333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.16667,0.0,0.5,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,0.0,0.0,3.7778,5.3333,6.2222,4.6667,4.2222,4.7778,5.1111,3.1111,4.2222,4.3333,4.1111,4.0,3.0,3.6667
3,0.083333,0.0,0.083333,0.66667,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.16667,0.33333,0.0,6.1111,6.5556,7.2222,6.0,6.0,4.5556,4.8889,2.4444,4.1111,5.1111,3.2222,5.6667,5.2222,6.4444
4,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,4.2222,4.3333,5.1111,5.2222,4.2222,5.5556,3.8889,2.3333,5.2222,5.6667,2.2222,6.2222,4.8889,5.1111
5,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.41667,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.33333,0.0,0.0,1.0,6.7778,7.5556,3.0,4.4444,1.1111,3.7778,4.0,3.2222,3.6667,4.0,1.0,1.3333,2.5556
6,0.0,0.083333,0.0,0.5,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.25,0.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7778,5.6667,6.0,5.5556,5.3333,4.6667,5.4444,2.7778,5.3333,4.6667,3.4444,5.8889,6.1111,6.4444
7,0.083333,0.0,0.41667,0.0,0.0,0.0,0.25,0.0,0.0,0.083333,0.25,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333,4.5556,7.1111,5.4444,4.4444,5.5556,4.3333,2.6667,4.6667,2.7778,2.4444,4.5556,5.0,4.5556
8,0.0,0.0,0.66667,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.25,0.0,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,6.3333,4.0,6.1111,6.4444,4.1111,8.1111,3.2222,1.7778,6.1111,3.8889,2.4444,7.7778,5.2222,6.7778
9,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.083333,0.0,0.66667,0.083333,0.0,0.16667,0.33333,0.0,3.3333,5.0,6.6667,4.3333,6.5556,3.8889,3.5556,4.4444,1.5556,4.5556,3.8889,3.1111,5.7778,3.3333
10,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.25,0.0,0.083333,0.91667,0.083333,0.0,0.0,7.3333,7.6667,7.4444,6.3333,6.0,6.2222,5.7778,3.2222,7.0,6.0,4.4444,6.2222,6.6667,7.8889
11,0.16667,0.16667,0.0,0.5,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0.083333,0.16667,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.16667,0.0,0.0,6.7778,6.7778,6.6667,5.3333,5.1111,7.1111,5.1111,2.0,6.0,4.3333,1.7778,6.2222,6.5556,7.6667
12,0.0,0.083333,0.0,0.33333,0.0,0.0,0.083333,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.25,0.0,0.0,0.0,0.16667,0.16667,0.16667,0.16667,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.16667,5.6667,5.2222,6.0,6.2222,5.0,7.0,6.2222,1.3333,6.2222,7.1111,1.3333,6.4444,5.2222,6.6667
13,0.0,0.33333,0.0,0.58333,0.0,0.0,0.25,0.0,0.0,0.0,0.083333,0.0,0.0,0.083333,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.16667,0.0,8.0,6.8889,7.0,6.6667,7.1111,8.1111,4.5556,2.1111,7.2222,4.8889,1.4444,7.5556,6.7778,8.4444
14,0.083333,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.083333,0.25,0.0,0.25,0.16667,0.0,0.0,0.41667,0.16667,6.5556,5.8889,6.3333,6.2222,7.4444,6.5556,4.8889,2.8889,6.0,5.8889,2.5556,6.2222,7.1111,6.0
15,0.0,0.0,0.0,0.083333,0.0,0.41667,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.58333,0.0,0.16667,0.083333,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.16667,0.083333,0.0,1.8889,6.6667,6.4444,4.5556,5.0,2.1111,4.5556,2.4444,4.0,5.0,4.6667,3.1111,4.7778,3.3333
16,0.0,0.0,0.58333,0.0,0.0,0.16667,0.5,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.16667,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4444,7.1111,7.3333,5.2222,4.4444,5.5556,4.5556,2.3333,6.8889,4.0,1.6667,5.4444,6.0,6.8889
17,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.083333,0.0,0.25,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.083333,0.25,0.0,0.083333,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.16667,7.5556,6.3333,6.6667,5.5556,5.6667,7.5556,5.2222,1.2222,8.0,6.8889,1.1111,7.2222,7.0,7.1111
18,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.41667,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.083333,0.0,0.0,1.7778,6.2222,4.0,3.1111,2.1111,4.2222,4.8889,3.7778,4.7778,2.4444,3.1111,4.3333,3.5556,3.1111
19,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.16667,0.083333,0.0,0.0,0.41667,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,6.8889,6.1111,6.3333,6.6667,5.1111,8.4444,4.5556,1.0,7.7778,6.0,2.4444,7.2222,6.2222,6.7778
20,0.0,0.0,0.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.41667,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,6.6667,6.4444,7.1111,4.7778,4.8889,7.5556,4.2222,2.3333,6.5556,5.1111,2.2222,6.6667,6.6667,6.4444
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.0,0.0,0.41667,0.33333,0.0,0.0,0.0,0.25,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.16667,0.0,0.0,1.0,6.3333,5.3333,3.6667,3.6667,1.4444,4.7778,6.2222,3.1111,3.3333,4.1111,2.3333,1.5556,1.7778
22,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.16667,0.0,0.25,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.083333,0.33333,3.1111,7.3333,6.2222,5.8889,4.1111,5.8889,6.3333,1.8889,5.7778,3.7778,1.7778,5.0,5.7778,4.7778
23,0.0,0.0,0.41667,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,7.1111,6.2222,7.2222,7.0,4.8889,7.8889,4.8889,1.1111,6.3333,4.5556,1.2222,7.5556,6.6667,7.3333
24,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.083333,0.0,0.16667,0.0,0.083333,0.0,0.0,0.16667,0.0,0.25,0.083333,0.0,0.16667,0.083333,0.083333,3.8889,5.7778,5.8889,3.5556,4.0,3.3333,4.8889,3.3333,4.2222,3.3333,3.6667,3.6667,3.2222,3.8889
25,0.0,0.0,0.0,0.0,0.0,0.58333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.083333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.4444,6.6667,2.8889,2.4444,4.3333,4.2222,5.4444,3.8889,2.0,5.2222,1.7778,6.2222,2.8889
26,0.0,0.083333,0.66667,0.0,0.0,0.083333,0.25,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.083333,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,8.1111,5.2222,7.3333,7.2222,4.5556,7.8889,4.8889,1.5556,7.0,4.5556,4.0,7.0,7.2222,8.0
27,0.0,0.0,0.0,0.58333,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.16667,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.25,0.41667,0.0,2.6667,5.8889,5.0,3.6667,5.5556,2.1111,4.1111,3.6667,2.8889,4.7778,4.6667,2.5556,1.8889,2.7778
28,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.83333,0.16667,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6667,5.3333,4.0,3.3333,2.1111,3.1111,3.2222,6.7778,3.3333,1.6667,4.3333,1.4444,2.3333,1.4444
29,0.0,0.0,0.41667,0.33333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.083333,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.16667,0.0,0.0,7.0,6.3333,6.7778,5.8889,5.3333,6.6667,5.2222,1.7778,6.4444,4.8889,3.6667,4.7778,7.4444,6.8889
30,0.0,0.0,0.0,0.083333,0.0,0.16667,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.83333,0.0,0.0,0.0,0.0,0.25,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.25,0.0,0.0,1.5556,6.1111,5.1111,3.1111,3.2222,3.3333,3.2222,6.5556,4.3333,2.4444,5.7778,2.5556,3.5556,1.8889
31,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,6.0,6.1111,2.7778,5.1111,2.8889,3.8889,4.1111,3.6667,5.1111,5.2222,1.8889,4.6667,3.2222
32,0.3,0.0,0.1,0.4,0.0,0.0,0.3,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.2,5.1111,5.8889,6.1111,4.6667,5.5556,6.7778,4.6667,3.0,5.2222,5.2222,3.5556,4.3333,6.6667,5.8889
33,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5556,5.8889,6.2222,5.8889,5.3333,6.8889,4.4444,2.6667,6.8889,5.5556,2.7778,6.7778,6.4444,6.3333
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,6.0,5.8889,6.6667,6.3333,5.8889,8.1111,4.6667,2.0,6.6667,5.3333,3.7778,7.3333,6.8889,6.1111
35,0.0,0.7,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4444,5.8889,6.0,7.1111,7.3333,7.0,3.7778,1.8889,6.8889,4.3333,2.8889,6.5556,6.7778,7.0
36,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,4.8889,5.4444,5.3333,5.5556,6.2222,6.8889,5.1111,3.1111,6.0,6.1111,3.7778,6.4444,6.1111,5.7778
37,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,5.7778,6.4444,6.2222,6.2222,6.0,7.4444,4.5556,1.7778,6.4444,5.1111,2.3333,7.0,5.8889,7.1111
38,0.1,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,6.3333,6.1111,5.7778,5.4444,5.1111,7.6667,5.1111,3.3333,5.8889,6.3333,3.3333,6.1111,7.2222,5.8889
39,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.1,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,4.4444,5.1111,5.2222,4.0,4.0,6.4444,4.3333,3.4444,5.6667,4.3333,3.0,3.2222,6.1111,5.8889
40,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,6.6667,5.7778,5.7778,5.2222,5.8889,7.7778,4.4444,3.0,6.5556,4.8889,3.3333,6.1111,6.7778,7.5556
41,0.1,0.0,0.1,0.2,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.4,5.5556,5.6667,5.8889,5.0,5.7778,6.8889,5.4444,3.0,6.6667,5.7778,3.1111,6.1111,7.4444,6.7778
42,0.0,0.0,0.4,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.8889,5.4444,5.8889,5.0,3.3333,6.5556,4.0,4.0,4.3333,4.0,3.2222,4.6667,5.0,4.8889
43,0.0,0.1,0.0,0.4,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.0,0.1,6.3333,5.8889,6.3333,5.3333,5.7778,7.7778,4.0,3.0,6.3333,4.8889,3.3333,6.5556,7.2222,6.7778
44,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,6.0,6.3333,6.3333,5.8889,5.8889,7.2222,5.4444,2.7778,6.1111,5.7778,3.3333,6.7778,5.8889,6.2222
